64;161.00
128;223.00
256;521.00
512;2542.00
1024;18111.00
1500;56716.00
2000;130560.00
2048;121454.00
2500;226009.00
3000;402566.00
3500;653616.00
4000;927040.00
4096;970826.00
64;161.00
128;222.00
256;523.00
512;2535.00
1024;18124.00
1500;56711.00
2000;125301.00
2048;125498.00
2500;226062.00
3000;403447.00
3500;653557.00
4000;928203.00
4096;970634.00
64;165.00
128;230.00
256;518.00
512;2525.00
1024;18154.00
1500;56738.00
2000;130863.00
2048;129443.00
2500;226508.00
3000;402795.00
3500;653977.00
4000;928575.00
4096;970795.00
64;161.00
128;220.00
256;521.00
512;2514.00
1024;18151.00
1500;56807.00
2000;135184.00
2048;115908.00
2500;228603.00
3000;403020.00
3500;654080.00
4000;928667.00
4096;970565.00
64;163.00
128;249.00
256;523.00
512;2521.00
1024;18144.00
1500;56871.00
2000;118309.00
2048;121667.00
2500;226370.00
3000;402803.00
3500;653977.00
4000;928813.00
4096;971629.00
64;179.00
128;217.00
256;540.00
512;2531.00
1024;18135.00
1500;56827.00
2000;123656.00
2048;138746.00
2500;226074.00
3000;402849.00
3500;654360.00
4000;929320.00
4096;971672.00
64;161.00
128;217.00
256;522.00
512;2523.00
1024;18123.00
1500;56853.00
2000;123867.00
2048;124700.00
2500;226712.00
3000;402784.00
3500;654354.00
4000;929175.00
4096;971212.00
64;162.00
128;224.00
256;527.00
512;2540.00
1024;18143.00
1500;56716.00
2000;135195.00
2048;125772.00
2500;226378.00
3000;403394.00
3500;654601.00
4000;928588.00
4096;970883.00
64;160.00
128;215.00
256;522.00
512;2535.00
1024;18169.00
1500;56814.00
2000;129316.00
2048;116046.00
2500;225892.00
3000;403415.00
3500;654244.00
4000;928151.00
4096;971552.00
64;162.00
128;218.00
256;529.00
512;2525.00
1024;18106.00
1500;56839.00
2000;132516.00
2048;117936.00
2500;226627.00
3000;403313.00
3500;654782.00
4000;929084.00
4096;971282.00
